seed,initialization_strategy,architecture,depth,target,topology,operator_family,training_rmse,heldout_rmse,best_loss,hardened_expression,tree_signature,structural_match,failure_type,nan_restarts,wall_seconds
157,uniform,eq6,4,d4_T4,RR,EML,5.143435e+04,1.254413e+00,0.00015937856912483372,"EML Master Formula (depth=4, params=90) |   Internal routing: 1, f, x, f, f, f, 1, 1, 1, x, f, x, f, f |   Leaf routing:     1, x, x, 1, x, y, 1, y, x, y, y, x, 1, y, y, 1","internal=[1, f, x, f, f, f, 1, 1, 1, x, f, x, f, f] leaves=[1, x, x, 1, x, y, 1, y, x, y, y, x, 1, y, y, 1]",no,training_failure,0,23.27
158,uniform,eq6,4,d4_T4,RR,EML,5.143435e+04,1.238451e+00,0.0003316006986964839,"EML Master Formula (depth=4, params=90) |   Internal routing: 1, f, x, f, f, f, 1, x, 1, x, f, 1, f, f |   Leaf routing:     1, x, x, 1, x, 1, 1, y, 1, y, y, x, 1, y, x, y","internal=[1, f, x, f, f, f, 1, x, 1, x, f, 1, f, f] leaves=[1, x, x, 1, x, 1, 1, y, 1, y, y, x, 1, y, x, y]",no,training_failure,0,23.27
159,uniform,eq6,4,d4_T4,RR,EML,6.939750e+00,6.500677e+00,0.00038088255548069505,"EML Master Formula (depth=4, params=90) |   Internal routing: 1, x, 1, f, 1, f, 1, x, 1, f, f, x, f, f |   Leaf routing:     1, x, x, 1, 1, 1, 1, x, 1, y, 1, x, 1, y, x, y","internal=[1, x, 1, f, 1, f, 1, x, 1, f, f, x, f, f] leaves=[1, x, x, 1, 1, 1, 1, x, 1, y, 1, x, 1, y, x, y]",no,training_failure,0,22.26
160,uniform,eq6,4,d4_T4,RR,EML,5.274056e+00,5.056083e+00,0.00042249618910200143,"EML Master Formula (depth=4, params=90) |   Internal routing: 1, f, 1, f, f, f, x, x, 1, x, f, f, f, f |   Leaf routing:     1, x, x, 1, x, 1, 1, x, 1, y, 1, x, 1, y, x, y","internal=[1, f, 1, f, f, f, x, x, 1, x, f, f, f, f] leaves=[1, x, x, 1, x, 1, 1, x, 1, y, 1, x, 1, y, x, y]",no,training_failure,0,23.63
161,uniform,eq6,4,d4_T4,RR,EML,8.298804e-01,7.833690e-01,0.0005129163121608447,"EML Master Formula (depth=4, params=90) |   Internal routing: 1, f, 1, f, f, f, 1, 1, 1, x, 1, x, 1, f |   Leaf routing:     1, x, x, 1, x, 1, 1, x, 1, y, x, x, 1, x, x, y","internal=[1, f, 1, f, f, f, 1, 1, 1, x, 1, x, 1, f] leaves=[1, x, x, 1, x, 1, 1, x, 1, y, x, x, 1, x, x, y]",no,training_failure,0,20.62
162,uniform,eq6,4,d4_T4,RR,EML,5.143435e+04,1.238451e+00,0.00028063697077116215,"EML Master Formula (depth=4, params=90) |   Internal routing: 1, f, x, f, f, f, 1, 1, f, x, f, 1, f, f |   Leaf routing:     1, x, y, 1, x, 1, 1, y, x, y, 1, x, 1, y, x, x","internal=[1, f, x, f, f, f, 1, 1, f, x, f, 1, f, f] leaves=[1, x, y, 1, x, 1, 1, y, x, y, 1, x, 1, y, x, x]",no,training_failure,0,23.77
163,uniform,eq6,4,d4_T4,RR,EML,9.603288e-01,1.021531e+00,0.00041709007132264154,"EML Master Formula (depth=4, params=90) |   Internal routing: x, f, 1, x, f, f, 1, 1, 1, x, 1, f, f, f |   Leaf routing:     1, x, x, y, x, 1, 1, x, x, y, y, x, 1, x, y, 1","internal=[x, f, 1, x, f, f, 1, 1, 1, x, 1, f, f, f] leaves=[1, x, x, y, x, 1, 1, x, x, y, y, x, 1, x, y, 1]",no,training_failure,0,21.74
164,uniform,eq6,4,d4_T4,RR,EML,5.143435e+04,1.254413e+00,0.00031098343722466763,"EML Master Formula (depth=4, params=90) |   Internal routing: 1, f, 1, f, 1, f, 1, x, 1, x, f, x, f, f |   Leaf routing:     1, x, x, 1, 1, 1, 1, x, x, y, 1, x, 1, y, y, y","internal=[1, f, 1, f, 1, f, 1, x, 1, x, f, x, f, f] leaves=[1, x, x, 1, 1, 1, 1, x, x, y, 1, x, 1, y, y, y]",no,training_failure,0,22.47
165,uniform,eq6,4,d4_T4,RR,EML,7.452755e-02,1.471912e-01,0.0002576248223332983,"EML Master Formula (depth=4, params=90) |   Internal routing: 1, f, 1, f, f, f, 1, 1, 1, 1, 1, f, f, f |   Leaf routing:     1, x, x, y, x, y, 1, x, x, y, x, x, 1, x, x, 1","internal=[1, f, 1, f, f, f, 1, 1, 1, 1, 1, f, f, f] leaves=[1, x, x, y, x, y, 1, x, x, y, x, x, 1, x, x, 1]",no,hardening_failure,0,21.37
166,uniform,eq6,4,d4_T4,RR,EML,5.040250e-01,5.784916e-01,0.0006786341566857109,"EML Master Formula (depth=4, params=90) |   Internal routing: 1, f, 1, f, f, f, 1, 1, f, x, 1, x, 1, x |   Leaf routing:     1, x, x, 1, x, 1, 1, x, 1, y, x, x, 1, y, y, 1","internal=[1, f, 1, f, f, f, 1, 1, f, x, 1, x, 1, x] leaves=[1, x, x, 1, x, 1, 1, x, 1, y, x, x, 1, y, y, 1]",no,training_failure,0,20.26
167,uniform,eq6,4,d4_T4,RR,EML,5.143435e+04,1.254413e+00,0.00036328650987861697,"EML Master Formula (depth=4, params=90) |   Internal routing: 1, f, 1, 1, 1, f, 1, x, 1, x, f, x, f, f |   Leaf routing:     1, x, x, 1, y, y, 1, x, x, y, y, x, 1, y, x, 1","internal=[1, f, 1, 1, 1, f, 1, x, 1, x, f, x, f, f] leaves=[1, x, x, 1, y, y, 1, x, x, y, y, x, 1, y, x, 1]",no,training_failure,0,21.43
168,uniform,eq6,4,d4_T4,RR,EML,6.040607e-01,5.863566e-01,0.0002322863128291529,"EML Master Formula (depth=4, params=90) |   Internal routing: 1, f, 1, f, f, f, 1, x, 1, x, x, f, f, f |   Leaf routing:     1, x, x, 1, x, 1, 1, 1, x, y, 1, x, 1, y, x, y","internal=[1, f, 1, f, f, f, 1, x, 1, x, x, f, f, f] leaves=[1, x, x, 1, x, 1, 1, 1, x, y, 1, x, 1, y, x, y]",no,training_failure,0,22.37
169,uniform,eq6,4,d4_T4,RR,EML,8.298804e-01,7.833690e-01,0.0002946096212916706,"EML Master Formula (depth=4, params=90) |   Internal routing: 1, f, x, f, f, f, 1, 1, 1, x, 1, x, 1, f |   Leaf routing:     1, x, x, 1, x, 1, y, x, x, y, y, x, 1, x, x, y","internal=[1, f, x, f, f, f, 1, 1, 1, x, 1, x, 1, f] leaves=[1, x, x, 1, x, 1, y, x, x, y, y, x, 1, x, x, y]",no,training_failure,0,20.22
